start_date_local,type,distance,moving_time,average_speed,streak,location_country
2023-05-14 06:22:17,Run,3842.49,0:28:32,0:07:25,7,"{'latitude': 28.134902, 'longitude': 113.058094, 'country': '中国', 'nationCode': '156', 'province': '湖南省', 'city': '长沙市', 'cityCode': '0731', 'district': '雨花区', 'districtCode': '430111', 'startLatitude': 28.13981, 'startLongitude': 113.058344}"
2023-05-17 07:35:53,Run,2034.74,0:14:18,0:07:01,1,"{'latitude': 30.453489, 'longitude': 114.430783, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453373, 'startLongitude': 114.430835}"
2023-05-17 19:02:58,Run,4027.9,0:28:19,0:07:01,1,"{'latitude': 30.457598, 'longitude': 114.433646, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453645, 'startLongitude': 114.428878}"
2023-05-18 07:26:59,Run,10160.44,0:57:41,0:05:40,2,"{'latitude': 30.45694, 'longitude': 114.428958, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.454077, 'startLongitude': 114.430838}"
2023-05-18 19:09:16,Run,5054.51,0:32:44,0:06:28,2,"{'latitude': 30.451249, 'longitude': 114.431324, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453746, 'startLongitude': 114.429457}"
2023-05-19 07:18:38,Run,5033.26,0:36:49,0:07:18,3,"{'latitude': 30.456806, 'longitude': 114.425081, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453715, 'startLongitude': 114.428399}"
2023-05-20 07:22:59,Run,4033.18,0:28:38,0:07:05,4,"{'latitude': 30.453948, 'longitude': 114.430184, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453643, 'startLongitude': 114.429491}"
2023-05-20 14:54:57,Run,2218.03,0:16:04,0:07:14,4,"{'latitude': 30.274625, 'longitude': 114.260046, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.274189, 'startLongitude': 114.260695}"
2023-05-22 07:55:02,Run,4059.9,0:29:55,0:07:22,1,"{'latitude': 30.45381, 'longitude': 114.430845, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453756, 'startLongitude': 114.429244}"
2023-05-22 11:28:47,Run,2015.21,0:13:55,0:06:54,1,"{'latitude': 30.45053, 'longitude': 114.428751, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453621, 'startLongitude': 114.42924}"
2023-05-22 19:00:43,Run,3045.25,0:23:20,0:07:39,1,"{'latitude': 30.453637, 'longitude': 114.430601, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453722, 'startLongitude': 114.429394}"
2023-05-23 07:15:48,Run,5043.78,0:36:55,0:07:19,2,"{'latitude': 30.453742, 'longitude': 114.430092, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453673, 'startLongitude': 114.429528}"
2023-05-24 07:30:50,Run,5046.91,0:35:59,0:07:07,3,"{'latitude': 30.453782, 'longitude': 114.429899, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.4537, 'startLongitude': 114.429271}"
2023-05-25 07:32:11,Run,6081.89,0:45:10,0:07:25,4,"{'latitude': 30.456301, 'longitude': 114.429468, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453463, 'startLongitude': 114.421398}"
2023-05-25 18:38:35,Run,4057.33,0:28:53,0:07:07,4,"{'latitude': 30.453874, 'longitude': 114.431058, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453738, 'startLongitude': 114.429354}"
2023-05-26 07:13:29,Run,5265.89,0:38:57,0:07:23,5,"{'latitude': 30.452937, 'longitude': 114.430877, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.45364, 'startLongitude': 114.429128}"
2023-05-26 18:58:05,Run,4064.05,0:28:19,0:06:58,5,"{'latitude': 30.453889, 'longitude': 114.430991, 'country': '中国', 'nationCode': '156', 'province': '湖北省', 'city': '武汉市', 'cityCode': '027', 'district': '江夏区', 'districtCode': '420115', 'startLatitude': 30.453829, 'startLongitude': 114.429504}"
